ProductModelID,TotalQuantitySold,TotalRevenue,RevenuePercentage
1,6738,259488.3685,1.972667
2,8311,51229.44562,0.389453
3,6084,129563.6869,0.984961
4,6928,113948.2976,0.866251
5,4363,3365069.274,25.581735
6,1648,1344209.596,10.218872
7,2248,1347457.74,10.243565
8,3377,521864.4244,3.967287
9,6343,1227309.993,9.330185
10,1477,294869.9463,2.241643
11,13637,431061.0974,3.276987
12,3125,167558.6173,1.273804
13,2288,81976.61095,0.623197
14,1646,344043.3698,2.615466
15,2235,482953.161,3.671478
17,3422,1158485.692,8.806973
18,1197,6573.3882,0.049971
24,4020,23171.73938,0.176154
32,9074,321198.2906,2.441795
33,19541,484048.5293,3.679805
37,7679,331623.9024,2.521052
38,4589,203149.0798,1.544368
54,1465,51753.70595,0.393439
86,1161,34818.39,0.264694
87,1396,48860,0.37144
88,1044,22435.56,0.170558
92,3095,15444.05,0.117407
93,2376,9480.24,0.07207
94,1488,7425.12,0.056446
107,2761,105826.4183,0.804507
111,6815,28654.16333,0.217833
112,2025,20229.75,0.153789
113,1712,15390.88,0.117003
114,3865,8232.597632,0.062585
115,1087,16240.22,0.12346
116,1130,13514.68728,0.10274
119,3319,18406.97208,0.139932
121,2121,46619.58,0.354408
