 ProductID,Name,TotalRevenue,RankWithinSubcategory,RevenuePercentageDifference
782,"Mountain-200 Black, 38",4400592.8,1,0
783,"Mountain-200 Black, 42",4009494.762,2,8.887394
779,"Mountain-200 Silver, 38",3693678.025,3,16.06408
780,"Mountain-200 Silver, 42",3438478.86,4,21.86328
781,"Mountain-200 Silver, 46",3434256.942,5,21.95922
784,"Mountain-200 Black, 46",3309673.217,6,24.790286
777,"Mountain-100 Black, 44",1365852.378,7,68.962082
775,"Mountain-100 Black, 38",1339997.255,8,69.549619
771,"Mountain-100 Silver, 38",1291868.7,9,70.643302
776,"Mountain-100 Black, 42",1254722.732,10,71.487415
778,"Mountain-100 Black, 48",1234276.03,11,71.95205
773,"Mountain-100 Silver, 44",1217210.36,12,72.339854
772,"Mountain-100 Silver, 42",1186494.85,13,73.03784
774,"Mountain-100 Silver, 48",1019657.001,14,76.829099
786,"Mountain-300 Black, 40",501648.8751,15,88.600425
787,"Mountain-300 Black, 44",484051.518,16,89.000311
788,"Mountain-300 Black, 48",479071.9001,17,89.113468
785,"Mountain-300 Black, 38",442477.087,18,89.945057
981,"Mountain-400-W Silver, 40",323703.8207,19,92.644086
980,"Mountain-400-W Silver, 38",241773.758,20,94.505882
983,"Mountain-400-W Silver, 46",227347.6673,21,94.833703
982,"Mountain-400-W Silver, 42",217457.874,22,95.058441
988,"Mountain-500 Silver, 52",161293.3452,23,96.334735
992,"Mountain-500 Black, 48",157569.082,24,96.419366
984,"Mountain-500 Silver, 40",145089.432,25,96.702957
987,"Mountain-500 Silver, 48",142897.2708,26,96.752772
985,"Mountain-500 Silver, 42",141360.498,27,96.787694
990,"Mountain-500 Black, 42",136293.476,28,96.902838
991,"Mountain-500 Black, 44",125925.668,29,97.138438
986,"Mountain-500 Silver, 44",122512.4316,30,97.216001
989,"Mountain-500 Black, 40",101734.116,31,97.688172
993,"Mountain-500 Black, 52",96982.204,32,97.796155
793,"Road-250 Black, 44",2516857.315,1,0
794,"Road-250 Black, 48",2347655.953,2,6.722723
795,"Road-250 Black, 52",2012447.775,3,20.041244
753,"Road-150 Red, 56",1847818.628,4,26.582304
976,"Road-350-W Yellow, 48",1774883.557,5,29.480167
749,"Road-150 Red, 62",1769096.688,6,29.710092
973,"Road-350-W Yellow, 40",1657198.183,7,34.156053
792,"Road-250 Red, 58",1587008.183,8,36.944848
751,"Road-150 Red, 48",1540803.062,9,38.780674
796,"Road-250 Black, 58",1506377.633,10,40.148469
789,"Road-250 Red, 44",1448122.479,11,42.463068
752,"Road-150 Red, 52",1415563.612,12,43.756699
790,"Road-250 Red, 48",1348759.498,13,46.410966
750,"Road-150 Red, 44",1340419.942,14,46.742314
801,"Road-550-W Yellow, 48",1233938.878,15,50.97303
797,"Road-550-W Yellow, 38",1227910.081,16,51.212566
974,"Road-350-W Yellow, 42",1120066.364,17,55.497423
798,"Road-550-W Yellow, 40",1071291.781,18,57.435339
791,"Road-250 Red, 52",1066766.61,19,57.615133
770,"Road-650 Black, 52",1042909.778,20,58.563015
760,"Road-650 Red, 60",1016529.018,21,59.611178
762,"Road-650 Red, 44",943340.5598,22,62.519108
799,"Road-550-W Yellow, 42",932039.589,23,62.968119
761,"Road-650 Red, 62",879827.9382,24,65.042597
763,"Road-650 Red, 48",878666.6637,25,65.088737
765,"Road-650 Black, 58",869632.7825,26,65.447672
800,"Road-550-W Yellow, 44",717825.9115,27,71.479276
975,"Road-350-W Yellow, 44",694003.92,28,72.425774
758,"Road-450 Red, 52",621103.74,29,75.32225
998,"Road-750 Black, 48",578174.3129,30,77.027926
764,"Road-650 Red, 52",523630.1458,31,79.19508
766,"Road-650 Black, 60",521898.2614,32,79.263891
999,"Road-750 Black, 52",515666.9064,33,79.511476
768,"Road-650 Black, 44",509245.009,34,79.766631
754,"Road-450 Red, 58",507978.2959,35,79.81696
977,"Road-750 Black, 58",361145.312,36,85.650942
767,"Road-650 Black, 62",312250.8139,37,87.593622
769,"Road-650 Black, 48",310946.5762,38,87.645442
755,"Road-450 Red, 60",306177.9,39,87.834912
759,"Road-650 Red, 58",304012.6411,40,87.920942
756,"Road-450 Red, 44",302678.724,41,87.973941
997,"Road-750 Black, 44",290298.624,42,88.465829
757,"Road-450 Red, 48",136467.864,43,94.577846
969,"Touring-1000 Blue, 60",1721242.514,1,0
966,"Touring-1000 Blue, 46",1586953.573,2,7.80186
957,"Touring-1000 Yellow, 60",1518133.101,3,11.800162
954,"Touring-1000 Yellow, 46",1426372.869,4,17.131208
967,"Touring-1000 Blue, 50",1071401.058,5,37.754206
955,"Touring-1000 Yellow, 50",981187.8492,6,42.995374
972,"Touring-2000 Blue, 54",772302.0123,7,55.131133
968,"Touring-1000 Blue, 54",743353.026,8,56.812998
956,"Touring-1000 Yellow, 54",667158.1488,9,61.239735
953,"Touring-2000 Blue, 60",635723.7159,10,63.065999
970,"Touring-2000 Blue, 46",438867.4781,11,74.502867
961,"Touring-3000 Yellow, 44",358121.8888,12,79.19399
965,"Touring-3000 Yellow, 62",351547.7114,13,79.575933
979,"Touring-3000 Blue, 50",348581.5035,14,79.748263
962,"Touring-3000 Yellow, 50",291747.2618,15,83.050194
958,"Touring-3000 Blue, 54",290075.1184,16,83.147341
971,"Touring-2000 Blue, 50",286218.66,17,83.371392
959,"Touring-3000 Blue, 58",210946.176,18,87.74454
963,"Touring-3000 Yellow, 54",196809.9761,19,88.565819
960,"Touring-3000 Blue, 62",135284.0081,20,92.140328
978,"Touring-3000 Blue, 44",133365.0334,21,92.251816
964,"Touring-3000 Yellow, 58",130898.5755,22,92.395111
809,ML Mountain Handlebars,51753.70595,1,0
813,HL Road Handlebars,43395.5968,2,16.149779
810,HL Mountain Handlebars,34375.348,3,33.578963
808,LL Mountain Handlebars,22008.26873,4,57.474989
947,HL Touring Handlebars,12087.24,5,76.644687
811,LL Road Handlebars,5422.5375,6,89.522416
946,LL Touring Handlebars,1548.624,7,97.007704
996,HL Bottom Bracket,39581.442,1,0
994,LL Bottom Bracket,12244.932,2,69.063956
948,Front Brakes,50299.311,1,0
907,Rear Brakes,15719.4,2,68.748279
952,Chain,9377.710144,1,0
951,HL Crankset,148622.5822,1,0
949,LL Crankset,44855.244,2,69.819361
950,ML Crankset,10464.792,3,92.958814
945,Front Derailleur,44484.2678,1,0
894,Rear Derailleur,25725.228,2,42.170054
804,HL Fork,61034.60962,1,0
802,LL Fork,16897.08,2,72.315576
806,ML Headset,39909.10839,1,0
807,HL Headset,19083.69,2,52.182118
805,LL Headset,1949.4,3,95.1154
748,"HL Mountain Frame - Silver, 38",930780.6807,1,0
743,"HL Mountain Frame - Black, 42",901590.2336,2,3.136125
747,"HL Mountain Frame - Black, 38",501788.1977,3,46.089534
742,"HL Mountain Frame - Silver, 46",499556.5724,4,46.329292
739,"HL Mountain Frame - Silver, 42",269874.0096,5,71.005628
832,"ML Mountain Frame - Black, 48",200284.4978,6,78.482095
904,"ML Mountain Frame-W - Silver, 40",195826.389,7,78.961059
741,"HL Mountain Frame - Silver, 48",141635.1,8,84.783192
905,"ML Mountain Frame-W - Silver, 42",136970.658,9,85.284325
831,"ML Mountain Frame - Black, 44",129529.464,10,86.083782
814,"ML Mountain Frame - Black, 38",107557.584,11,88.444368
745,"HL Mountain Frame - Black, 48",106078.56,12,88.60327
917,"LL Mountain Frame - Silver, 42",100569.3572,13,89.19516
925,"LL Mountain Frame - Black, 44",93584.423,14,89.945598
944,"LL Mountain Frame - Silver, 40",69934.27622,15,92.486492
920,"LL Mountain Frame - Silver, 52",67332.75,16,92.765991
924,"LL Mountain Frame - Black, 42",63396.702,17,93.188867
918,"LL Mountain Frame - Silver, 44",58777.53,18,93.685136
926,"LL Mountain Frame - Black, 48",57851.364,19,93.78464
906,"ML Mountain Frame-W - Silver, 46",41069.352,20,95.587644
830,"ML Mountain Frame - Black, 40",14229.408,21,98.471239
744,"HL Mountain Frame - Black, 44",13765.92,22,98.521035
919,"LL Mountain Frame - Silver, 48",6970.92,23,99.251067
927,"LL Mountain Frame - Black, 52",2248.11,24,99.75847
942,"ML Mountain Frame-W - Silver, 38",1529.178,25,99.83571
943,"LL Mountain Frame - Black, 40",1198.992,26,99.871184
937,HL Mountain Pedal,38018.3258,1,0
940,HL Road Pedal,32849.544,2,13.5955
939,ML Road Pedal,24624.894,3,35.228883
938,LL Road Pedal,21087.192,4,44.534138
936,ML Mountain Pedal,12852.63,5,66.193592
935,LL Mountain Pedal,10908.006,6,71.308557
941,Touring Pedal,7143.318,7,81.210855
835,"ML Road Frame-W - Yellow, 44",485700.5469,1,0
718,"HL Road Frame - Red, 44",395182.6993,2,18.636554
717,"HL Road Frame - Red, 62",394255.5724,3,18.827439
838,"HL Road Frame - Black, 44",375026.9772,4,22.786379
822,"ML Road Frame-W - Yellow, 38",303330.8412,5,37.547766
836,"ML Road Frame-W - Yellow, 48",301286.7891,6,37.968612
738,"LL Road Frame - Black, 52",299595.523,7,38.316824
729,"LL Road Frame - Red, 60",195933.4094,8,59.659627
725,"LL Road Frame - Red, 44",194692.5991,9,59.915095
722,"LL Road Frame - Black, 58",177635.904,10,63.426867
730,"LL Road Frame - Red, 62",137213.4851,11,71.749365
726,"LL Road Frame - Red, 48",132125.2522,12,72.796972
719,"HL Road Frame - Red, 48",89872.1736,13,81.496382
839,"HL Road Frame - Black, 48",89872.1736,13,81.496382
732,"ML Road Frame - Red, 48",89224.5,15,81.62973
833,"ML Road Frame-W - Yellow, 40",68167.5144,16,85.965114
736,"LL Road Frame - Black, 44",45164.6846,17,90.701125
733,"ML Road Frame - Red, 52",32120.82,18,93.386702
723,"LL Road Frame - Black, 60",24844.6922,19,94.884771
727,"LL Road Frame - Red, 52",20104.4434,20,95.860732
910,HL Mountain Seat/Saddle,16392.096,1,0
916,HL Touring Seat/Saddle,13454.784,2,17.919075
909,ML Mountain Seat/Saddle,12497.16716,3,23.761017
908,LL Mountain Seat/Saddle,5636.957088,4,65.611736
913,HL Road Seat/Saddle,4232.256,5,74.181117
915,ML Touring Seat/Saddle,1972.656,6,87.965809
914,LL Touring Seat/Saddle,1480.752,7,90.96667
911,LL Road Seat/Saddle,162.72,8,99.007326
892,"HL Touring Frame - Blue, 54",324333.1033,1,0
889,"HL Touring Frame - Yellow, 54",323268.256,2,0.328319
885,"HL Touring Frame - Yellow, 60",232378.2602,3,28.351975
893,"HL Touring Frame - Blue, 60",221720.9524,4,31.63789
891,"HL Touring Frame - Blue, 50",74690.904,5,76.970927
886,"LL Touring Frame - Yellow, 62",69127.13505,6,78.686376
890,"HL Touring Frame - Blue, 46",68667.444,7,78.828111
895,"LL Touring Frame - Blue, 50",63216.432,8,80.508794
899,"LL Touring Frame - Yellow, 44",58699.39121,9,81.90151
887,"HL Touring Frame - Yellow, 46",52404.102,10,83.842505
888,"HL Touring Frame - Yellow, 50",49994.718,11,84.585379
900,"LL Touring Frame - Yellow, 50",45611.856,12,85.936725
896,"LL Touring Frame - Blue, 54",42210.972,13,86.985302
902,"LL Touring Frame - Yellow, 58",7201.872,14,97.779482
903,"LL Touring Frame - Blue, 44",5001.3,15,98.457974
898,"LL Touring Frame - Blue, 62",3000.78,16,99.074784
897,"LL Touring Frame - Blue, 58",800.208,17,99.753275
825,HL Mountain Rear Wheel,166013.2836,1,0
824,ML Mountain Rear Wheel,119892.1568,2,27.781588
820,HL Road Front Wheel,112286.412,3,32.362995
819,ML Road Front Wheel,79354.0398,4,52.200186
826,LL Road Rear Wheel,58655.3702,5,64.668266
817,HL Mountain Front Wheel,39988.638,6,75.912386
816,ML Mountain Front Wheel,33360.39,7,79.904987
815,LL Mountain Front Wheel,22462.84495,8,86.469248
828,HL Road Rear Wheel,20238.1608,9,87.809312
823,LL Mountain Rear Wheel,18005.274,10,89.154317
827,ML Road Rear Wheel,10574.784,11,93.630157
856,"Men's Bib-Shorts, M",86166.04593,1,0
855,"Men's Bib-Shorts, S",47214.36938,2,45.205366
857,"Men's Bib-Shorts, L",34178.202,3,60.334489
712,AWC Logo Cap,51229.44562,1,0
863,"Full-Finger Gloves, L",69943.21425,1,0
859,"Half-Finger Gloves, M",54545.48734,2,22.014611
862,"Full-Finger Gloves, M",48210.17617,3,31.072403
858,"Half-Finger Gloves, S",36490.55084,4,47.828318
860,"Half-Finger Gloves, L",22912.25948,5,67.241626
861,"Full-Finger Gloves, S",11410.2965,6,83.686342
715,"Long-Sleeve Logo Jersey, L",198754.9754,1,0
884,"Short-Sleeve Classic Jersey, XL",129145.5701,2,35.022723
714,"Long-Sleeve Logo Jersey, M",115249.215,3,42.014425
883,"Short-Sleeve Classic Jersey, L",98472.71733,4,50.455218
716,"Long-Sleeve Logo Jersey, XL",95611.19708,5,51.894941
881,"Short-Sleeve Classic Jersey, S",71606.07316,6,63.972688
882,"Short-Sleeve Classic Jersey, M",21973.93,7,88.944211
713,"Long-Sleeve Logo Jersey, S",21445.71,8,89.209975
867,"Women's Mountain Shorts, S",137164.1273,1,0
869,"Women's Mountain Shorts, L",136774.0171,2,0.284411
868,"Women's Mountain Shorts, M",57685.758,3,57.94399
849,"Men's Sports Shorts, M",45594.28369,4,66.759323
841,"Men's Sports Shorts, S",20364.99727,5,85.152825
850,"Men's Sports Shorts, L",16017.33,6,88.322507
875,"Racing Socks, L",13784.58995,1,0
874,"Racing Socks, M",9387.149432,2,31.901134
709,"Mountain Bike Socks, M",6060.3882,3,56.035049
710,"Mountain Bike Socks, L",513,4,96.278452
854,"Women's Tights, L",94090.64291,1,0
852,"Women's Tights, S",91330.80094,2,2.933173
853,"Women's Tights, M",17727.636,3,81.15898
864,"Classic Vest, S",156398.068,1,0
865,"Classic Vest, M",90250.60055,2,42.294299
866,"Classic Vest, L",12839.7,3,91.790371
876,Hitch Rack - 4-Bike,237096.156,1,0
879,All-Purpose Bike Stand,39591,1,0
870,Water Bottle - 30 oz.,28654.16333,1,0
871,Mountain Bottle Cage,20229.75,2,29.400311
872,Road Bottle Cage,15390.88,3,46.287456
877,Bike Wash - Dissolver,18406.97208,1,0
878,Fender Set - Mountain,46619.58,1,0
711,"Sport-100 Helmet, Blue",165406.617,1,0
708,"Sport-100 Helmet, Black",160869.5178,2,2.742997
707,"Sport-100 Helmet, Red",157772.3944,3,4.615427
880,Hydration Pack - 70 oz.,105826.4183,1,0
843,Cable Lock,16240.22,1,0
844,Minipump,13514.68728,1,0
930,HL Mountain Tire,48860,1,0
929,ML Mountain Tire,34818.39,2,28.738456
933,HL Road Tire,27970.8,3,42.753172
934,Touring Tire,27105.65,4,44.523843
932,ML Road Tire,23140.74,5,52.638681
931,LL Road Tire,22435.56,6,54.081948
928,LL Mountain Tire,21541.38,7,55.912034
921,Mountain Tire Tube,15444.05,8,68.391219
922,Road Tire Tube,9480.24,9,80.597134
873,Patch Kit/8 Patches,8232.597632,10,83.150639
923,Touring Tire Tube,7425.12,11,84.803274
